Continent,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
Africa,0,1,1,1,0,4,4,3,2,4,6,9,4,6,7,5,4,4,2,4,2,3,3,0,5,5,3,3,5,3,3,4,2,5,2,1,1,1,3,3,3,2,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia,0,1,0,1,3,3,6,7,5,7,12,20,15,23,26,24,29,43,35,33,17,32,50,52,56,53,43,89,64,76,76,47,66,61,76,49,41,58,60,43,42,32,48,35,37,23,18,19,22,22,16,9,11,8,1,4,5,4,3,3,2,2,3,1,0,0,0
Europe,0,1,1,7,5,10,12,19,28,34,39,54,68,59,63,90,75,128,110,87,108,136,152,177,157,162,180,205,195,171,191,181,194,156,147,138,130,124,110,90,77,66,70,62,39,30,22,30,28,21,11,9,14,6,5,4,3,2,4,1,1,0,0,0,0,0,0
North America,62,134,261,480,692,899,1276,1502,1667,1700,1689,1805,1737,1672,1606,1686,1611,2102,1981,1932,1958,1887,2462,2202,2031,1981,1777,2859,2683,2253,1965,1743,2184,1861,1652,1514,1232,1701,1304,1123,900,678,1195,861,613,441,323,474,327,260,169,109,152,89,54,48,37,32,21,14,12,5,9,4,4,3,1
Oceania,0,0,0,0,1,1,1,4,3,5,5,6,11,9,7,12,8,20,16,19,9,19,21,19,27,23,21,28,33,18,15,18,20,14,20,8,13,18,18,11,8,4,8,5,4,5,5,6,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
South America,0,0,1,0,0,3,2,4,4,5,7,12,14,10,17,17,29,30,44,33,34,24,46,44,42,41,32,52,59,45,27,25,32,27,33,20,16,18,19,17,14,6,15,8,8,5,5,7,7,1,2,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0
